playerID,award,year
thompti01w,All-Star Game MVP,1
leslili01w,All-Star Game MVP,2
leslili01w,All-Star Game MVP,3
teaslni01w,All-Star Game MVP,4
swoopsh01w,All-Star Game MVP,6
douglka01w,All-Star Game MVP,7
fordch01w,All-Star Game MVP,8
cashsw01w,All-Star Game MVP,10
swoopsh01w,Defensive Player of the Year,1
blackde01w,Defensive Player of the Year,2
swoopsh01w,Defensive Player of the Year,3
swoopsh01w,Defensive Player of the Year,4
leslili01w,Defensive Player of the Year,5
catchta01w,Defensive Player of the Year,6
catchta01w,Defensive Player of the Year,7
jacksla01w,Defensive Player of the Year,8
leslili01w,Defensive Player of the Year,9
catchta01w,Defensive Player of the Year,10
lawsoka01w,Kim Perrot Sportsmanship Award,10
mcconsu01w,Kim Perrot Sportsmanship Award,1
wickssu01w,Kim Perrot Sportsmanship Award,2
gilloje01w,Kim Perrot Sportsmanship Award,3
campbed01w,Kim Perrot Sportsmanship Award,4
edwarte01w,Kim Perrot Sportsmanship Award,5
mcwilta01w,Kim Perrot Sportsmanship Award,6
staleda01w,Kim Perrot Sportsmanship Award,7
beviltu01w,Kim Perrot Sportsmanship Award,8
johnsvi01w,Kim Perrot Sportsmanship Award,9
phillta01w,Most Improved Player,1
arcaija01w,Most Improved Player,2
milleco01w,Most Improved Player,3
snowmi01w,Most Improved Player,4
milleke01w,Most Improved Player,5
palmewe01w,Most Improved Player,5
mccarja01w,Most Improved Player,8
hoffmeb01w,Most Improved Player,9
langhcr01w,Most Improved Player,10
swoopsh01w,MVP,1
leslili01w,MVP,2
swoopsh01w,MVP,3
jacksla01w,MVP,4
leslili01w,MVP,5
swoopsh01w,MVP,6
leslili01w,MVP,7
jacksla01w,MVP,8
parkeca01w,MVP,9
tauradi01w,MVP,10
lennobe01w,Rookie of the Year,1
stileja01w,Rookie of the Year,2
catchta01w,Rookie of the Year,3
fordch01w,Rookie of the Year,4
tauradi01w,Rookie of the Year,5
johnste01w,Rookie of the Year,6
augusse01w,Rookie of the Year,7
pricear01w,Rookie of the Year,8
parkeca01w,Rookie of the Year,9
mccouan01w,Rookie of the Year,10
pierspl01w,6th Woman of the Year,8
wiggica01w,6th Woman of the Year,9
bonnede01w,6th Woman of the Year,10
coopecy01w,Finals MVP,1
leslili01w,Finals MVP,2
leslili01w,Finals MVP,3
rileyru01w,Finals MVP,4
lennobe01w,Finals MVP,5
griffyo01w,Finals MVP,6
nolande01w,Finals MVP,7
pondeca01w,Finals MVP,8
smithka01w,Finals MVP,9
tauradi01w,Finals MVP,10
birdsu01w,All-Decade Team,7
catchta01w,All-Decade Team,7
coopecy01w,All-Decade Team,7
griffyo01w,All-Decade Team,7
jacksla01w,All-Decade Team,7
leslili01w,All-Decade Team,7
smithka01w,All-Decade Team,7
staleda01w,All-Decade Team,7
swoopsh01w,All-Decade Team,7
thompti01w,All-Decade Team,7
boltoru01w,All-Decade Team Honorable Mention,7
holdsch01w,All-Decade Team Honorable Mention,7
penicti01w,All-Decade Team Honorable Mention,7
tauradi01w,All-Decade Team Honorable Mention,7
weathte01w,All-Decade Team Honorable Mention,7
