Team,Year,Rank,PlayoffProgScore,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,POSS,OFFRTG,DEFRTG,NETRTG,AST/TO,AST RATIO,OREB%,DREB%,REB%,TOV%,EFG%,TS%,PACE,CumulativePlayoffProgScore,AvgPIE_NextYearPlayers,Performance_NextYearCoach
ATL,10,2,1,34,18,16,52.94117647058824,6950,2861,1089,2428,44.85172981878089,114,374,30.481283422459892,569,755,75.36423841059603,404,855,1259,547,590,329,121,133,741,700,2853.4331765745374,100.26518313053843,98.02227095984482,2.2429121706936144,0.9271186440677966,19.169889958897073,6.595918367346939,14.155629139072847,10.349362926428277,17.610888902155097,47.1993410214168,51.82595464096805,82.11318493739675,1,0.10415289085743339,0.55
CHI,10,5,0,34,16,18,47.05882352941176,6825,2573,930,2136,43.53932584269663,186,471,39.490445859872615,527,693,76.04617604617604,307,776,1083,532,532,249,138,121,605,636,2580.7165558561574,99.70099173275551,104.35086309223107,-4.649871359475554,1.0,20.61442969367506,5.561594202898551,13.674008810572687,9.673961589995534,17.894864308491314,47.89325842696629,52.70553725644429,75.6253935782024,0,0.08379824244367462,0.4680219596579891
CON,10,6,0,34,16,18,47.05882352941176,6975,2651,966,2381,40.57118857622847,202,639,31.61189358372457,517,692,74.71098265895954,358,826,1184,608,453,250,130,125,677,684,2693.5855212679367,98.41900244370593,98.53037815375163,-0.11137571004569224,1.3421633554083885,22.572143902592686,5.495011511895625,14.303030303030303,9.633848657445077,14.433738625066912,44.81310373792524,49.35802910466658,77.2354271331308,13,0.10437129638536606,0.47058823529411764
IND,10,1,3,34,22,12,64.70588235294117,6925,2606,890,2212,40.23508137432188,213,637,33.437990580847725,613,746,82.171581769437,342,780,1122,527,531,373,117,116,692,700,2646.675901845811,98.46313249697694,94.49589193205652,3.9672405649204165,0.992467043314501,19.911769311552895,5.7430730478589425,14.207650273224044,9.80340760157274,17.289433583829332,45.0497287522604,51.29436588668788,76.43829319410284,10,0.11350448426613777,0.6363636363636364
LAS,10,3,2,34,18,16,52.94117647058824,6925,2533,973,2264,42.977031802120145,152,512,29.6875,435,550,79.0909090909091,365,883,1248,587,568,217,166,115,583,622,2589.471167913549,97.81920074595578,96.46757341626432,1.3516273296914676,1.033450704225352,22.668721215110953,6.666666666666667,14.679966749792186,10.861618798955613,18.477553675992194,46.3339222614841,50.53870710295292,74.78617091447073,21,0.12394034101693065,0.4117647058823529
MIN,10,5,0,34,14,20,41.17647058823529,6875,2731,949,2257,42.04696499778467,242,695,34.82014388489208,591,766,77.15404699738903,325,762,1087,509,513,301,128,140,693,694,2696.413898786174,101.2826703359375,104.84295460992139,-3.5602842739838962,0.9922027290448343,18.876923911018743,5.541346973572037,14.1241890639481,9.653641207815275,16.510891395025492,47.40806380150642,52.639897611447786,78.44113160105233,2,0.15923378451789574,0.4680219596579891
NYL,10,7,0,34,13,21,38.23529411764706,6900,2512,900,2168,41.51291512915129,254,710,35.774647887323944,458,582,78.69415807560138,280,802,1082,526,543,276,121,124,637,590,2597.322553728007,96.71498044763285,97.60050773676325,-0.885527289130394,0.9686924493554327,20.251624090547324,4.873803307223673,14.13215859030837,9.474605954465849,18.300821009207706,47.37084870848708,51.81347150259068,75.28471170226106,14,0.09049406993525573,0.42857142857142855
PHO,10,1,4,34,23,11,67.64705882352942,6900,3156,1128,2454,45.965770171149146,257,665,38.64661654135338,643,752,85.50531914893617,284,906,1190,625,500,225,181,143,740,671,2890.5394297214907,109.18377267401908,104.85932033426863,4.324452339750451,1.25,21.622261698752194,4.947735191637631,13.654860587792012,9.616161616161616,15.221256179830009,51.20211898940505,56.663123725259254,83.78375158613017,9,0.10526385478137666,0.6666666666666666
SAS,10,4,1,34,15,19,44.11764705882353,6950,2615,936,2190,42.73972602739726,256,739,34.64140730717185,487,626,77.79552715654951,281,768,1049,598,509,257,116,120,596,643,2598.5649087987467,100.63246798821935,102.40267583810771,-1.770207849888365,1.174852652259332,23.01270204854882,5.085972850678733,13.568904593639576,9.37863209655789,17.11246486733637,48.58447488584475,53.03312998896749,74.77884629636681,6,0.14097427535796409,0.43243243243243246
SEA,10,2,1,34,20,14,58.82352941176471,7025,2544,909,2116,42.95841209829867,171,486,35.18518518518518,555,707,78.50070721357851,316,788,1104,536,555,276,150,131,710,672,2570.3662056766207,98.97422376553227,96.32868633783723,2.6455374276950465,0.9657657657657658,20.853059724184472,5.951035781544256,14.071428571428571,10.119156736938589,18.6111707264728,46.99905482041588,52.40865566853997,73.17768557086464,10,0.11891649101253848,0.5675675675675675
TUL,10,5,1,32,15,18,45.73529411764706,6526,2240,814,1920,42.4521766842199,139,424,32.495850182572184,472,640,73.74579665723859,316,664,980,496,505,260,115,112,666,656,2304.2732138853057,97.23809350858309,99.11383908608774,-1.87574557750466,0.9934081200821332,21.59121599056691,6.358723233772568,13.433732459865704,9.88332923341968,18.6694975392931,46.06694099068144,50.9037136690763,70.57930906109044,1,0.08475348788826953,0.4680219596579891
WAS,10,4,1,34,16,18,47.05882352941176,6875,2585,933,2205,42.31292517006803,139,426,32.629107981220656,580,827,70.13301088270859,388,803,1191,453,607,314,118,156,725,778,2688.3387612121214,96.15603648233946,97.53235112444644,-1.3763146421069763,0.7462932454695222,16.850554942553103,6.59303313508921,14.275555555555556,10.347523892267594,19.112812826681107,45.46485260770975,50.31375541091837,78.20621850798899,4,0.11067208731775023,0.125
